YEAR,MO,DY,HR,RH2M,PRECTOTCORR,WS50M,WS10M,ALLSKY_KT
2019,4,2,23,100.0,0.0,5.28,3.07,-999.0
2019,4,3,0,100.0,0.0,5.1,2.97,-999.0
2019,4,3,1,100.0,0.0,4.92,2.82,-999.0
2019,4,3,2,100.0,0.0,4.6,2.56,-999.0
2019,4,3,3,100.0,0.0,4.2,2.31,-999.0
2019,4,3,4,100.0,0.0,3.79,2.09,-999.0
2019,4,3,5,100.0,0.0,3.43,1.96,0.38
2019,4,3,6,95.25,0.0,3.02,2.56,0.37
2019,4,3,7,83.38,0.01,3.84,3.14,0.52
2019,4,3,8,67.31,0.0,4.96,4.23,0.56
2019,4,3,9,59.81,0.0,5.12,4.44,0.63
2019,4,3,10,56.06,0.0,5.21,4.57,0.66
2019,4,3,11,53.88,0.0,5.48,4.81,0.74
2019,4,3,12,53.38,0.0,5.75,5.04,0.72
2019,4,3,13,54.38,0.0,5.91,5.15,0.65
2019,4,3,14,56.19,0.0,5.95,5.15,0.62
2019,4,3,15,59.19,0.0,5.74,4.86,0.52
2019,4,3,16,65.25,0.0,4.97,3.92,0.47
2019,4,3,17,82.06,0.0,3.86,2.13,0.33
2019,4,3,18,86.19,0.0,3.34,2.03,-999.0
2019,4,3,19,84.75,0.0,2.85,1.84,-999.0
2019,4,3,20,83.44,0.0,2.57,1.71,-999.0
2019,4,3,21,83.25,0.0,2.49,1.67,-999.0
2019,4,3,22,83.25,0.0,2.37,1.6,-999.0
2019,4,3,23,82.88,0.0,2.22,1.52,-999.0
2019,4,4,0,82.88,0.0,1.82,1.31,-999.0
2019,4,4,1,82.88,0.0,1.34,0.99,-999.0
2019,4,4,2,83.62,0.0,0.88,0.67,-999.0
2019,4,4,3,85.94,0.0,0.78,0.6,-999.0
2019,4,4,4,88.44,0.0,1.1,0.85,-999.0
2019,4,4,5,90.75,0.02,1.61,1.18,0.35
2019,4,4,6,88.19,0.02,2.35,1.72,0.52
2019,4,4,7,72.0,0.0,2.52,2.32,0.67
2019,4,4,8,61.75,0.01,3.51,3.05,0.75
2019,4,4,9,59.31,0.01,4.74,4.07,0.79
2019,4,4,10,57.31,0.01,5.8,4.98,0.73
2019,4,4,11,55.56,0.02,6.83,5.85,0.62
2019,4,4,12,54.38,0.03,7.74,6.62,0.5
2019,4,4,13,53.88,0.05,8.43,7.16,0.49
2019,4,4,14,53.88,0.06,8.71,7.32,0.47
2019,4,4,15,54.81,0.02,8.32,6.83,0.48
2019,4,4,16,59.5,0.01,7.17,5.42,0.48
2019,4,4,17,77.19,0.01,5.96,3.08,0.4
2019,4,4,18,82.75,0.0,5.14,2.97,-999.0
2019,4,4,19,81.5,0.0,4.21,2.63,-999.0
2019,4,4,20,79.69,0.0,3.49,2.31,-999.0
2019,4,4,21,81.19,0.0,3.28,2.21,-999.0
2019,4,4,22,85.19,0.0,3.32,2.24,-999.0
2019,4,4,23,89.31,0.0,3.32,2.24,-999.0
2019,4,5,0,91.38,0.0,3.09,2.1,-999.0
2019,4,5,1,92.62,0.0,2.76,1.94,-999.0
2019,4,5,2,94.81,0.0,2.66,1.88,-999.0
2019,4,5,3,98.0,0.0,2.8,1.94,-999.0
2019,4,5,4,100.0,0.0,3.06,2.11,-999.0
2019,4,5,5,100.0,0.0,3.28,2.23,0.34
2019,4,5,6,93.81,0.0,3.19,2.1,0.28
2019,4,5,7,84.0,0.0,2.77,2.58,0.36
2019,4,5,8,77.44,0.01,3.56,2.73,0.48
2019,4,5,9,80.38,0.03,4.23,3.45,0.48
2019,4,5,10,83.38,0.13,3.53,3.2,0.52
2019,4,5,11,86.25,0.31,2.93,2.77,0.45
2019,4,5,12,86.81,0.39,2.92,2.78,0.37
2019,4,5,13,87.38,0.22,3.46,3.22,0.34
2019,4,5,14,87.5,0.05,3.81,3.5,0.38
2019,4,5,15,88.0,0.02,3.91,3.55,0.31
2019,4,5,16,89.44,0.01,3.8,3.43,0.29
2019,4,5,17,92.75,0.0,4.42,3.61,0.16
2019,4,5,18,95.56,0.0,5.81,4.35,-999.0
2019,4,5,19,96.19,0.02,6.01,4.54,-999.0
2019,4,5,20,97.25,0.17,3.37,2.09,-999.0
2019,4,5,21,97.88,0.1,2.08,1.1,-999.0
2019,4,5,22,97.94,0.0,3.15,1.69,-999.0
2019,4,5,23,98.19,0.0,4.79,2.79,-999.0
2019,4,6,0,98.94,0.03,5.09,2.75,-999.0
2019,4,6,1,100.0,0.11,3.53,1.97,-999.0
2019,4,6,2,100.0,0.1,2.46,1.38,-999.0
2019,4,6,3,98.56,0.07,2.9,1.61,-999.0
2019,4,6,4,98.31,0.03,4.02,2.18,-999.0
2019,4,6,5,99.5,0.01,4.8,2.51,0.3
2019,4,6,6,91.75,0.0,5.05,3.28,0.32
2019,4,6,7,84.19,0.0,4.94,4.17,0.39
2019,4,6,8,78.31,0.01,6.2,5.12,0.48
2019,4,6,9,73.81,0.01,7.97,6.59,0.54
2019,4,6,10,69.12,0.01,9.39,7.6,0.57
2019,4,6,11,66.44,0.01,10.25,8.29,0.52
2019,4,6,12,66.19,0.02,10.77,8.76,0.5
