datetime,Load,month_sin,month_cos,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,Load_previous_hour,Load_same_hour_previous_day,Load_same_hour_previous_week
2021-08-18 08:00:00+00:00,517.109788,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,496.785046,565.631235,585.28841
2021-08-18 09:00:00+00:00,545.974702,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.7071067811865476,-0.7071067811865475,517.109788,604.437688,630.291089
2021-08-18 10:00:00+00:00,573.885457,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.4999999999999999,-0.8660254037844387,545.974702,638.225179,662.621046
2021-08-18 11:00:00+00:00,592.722938,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.258819045102521,-0.9659258262890682,573.885457,664.580987,633.173826
2021-08-18 12:00:00+00:00,599.382117,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,1.2246467991473532e-16,-1.0,592.722938,675.433604,620.456296
2021-08-18 13:00:00+00:00,582.981951,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,-0.2588190451025208,-0.9659258262890684,599.382117,650.38606,571.057087
2021-08-18 14:00:00+00:00,578.412369,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,-0.4999999999999997,-0.8660254037844388,582.981951,648.321519,551.084201
2021-08-18 15:00:00+00:00,570.500333,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,-0.7071067811865471,-0.7071067811865479,578.412369,650.015041,548.809005
2021-08-18 16:00:00+00:00,564.657304,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,-0.8660254037844384,-0.5000000000000004,570.500333,653.19548,567.014051
2021-08-18 17:00:00+00:00,564.712772,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,-0.2588190451025206,564.657304,658.136389,584.80271
2021-08-18 18:00:00+00:00,543.227071,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,-1.0,-1.8369701987210294e-16,564.712772,646.80022,585.319639
2021-08-18 19:00:00+00:00,519.199067,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,0.2588190451025203,543.227071,637.775962,594.42321
